Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Pagerank,Hubness,Authority,Grafo
Falk Scholer,0.05263157894736842,0.011578947368421052,0.4550898203592814,0.01616963043018272,0.027001860892045416,0.02700186089204541,Grafo Originale
J. Shane Culpepper,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343307,0.007745545633343311,Grafo Originale
Yunke Qu,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343307,0.007745545633343314,Grafo Originale
Mark Sanderson,0.039473684210526314,0.0,0.4222222222222222,0.012638958316803322,0.020517743062577424,0.020517743062577427,Grafo Originale
Rishabh Mehrotra,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343307,0.007745545633343311,Grafo Originale
Mounia Lalmas,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343307,0.007745545633343315,Grafo Originale
Ben Carterette,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343307,0.007745545633343305,Grafo Originale
Luca Vassena,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730331,Grafo Originale
Luca Di Gaspero,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.0069519108037303335,Grafo Originale
Carlo Tasso,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.0069519108037303335,Grafo Originale
Paolo Coppola,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730334,Grafo Originale
Omar Alonso,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.0069519108037303335,Grafo Originale
Elena Nazzi,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730334,Grafo Originale
Giorgio Brajnik,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730331,Grafo Originale
Fabio Crestani,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730336,Grafo Originale
Claudio Carpineto,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730334,Grafo Originale
Marco Pavan,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730334,Grafo Originale
Andrew Turpin,0.02631578947368421,0.0,0.3958333333333333,0.009034146746492187,0.013436028633198321,0.01343602863319832,Grafo Originale
Julio Gonzalo,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.00582028662550378,Grafo Originale
Lawrence Cavedon,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
Johanne R. Trippas,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.0058202866255037755,Grafo Originale
Jorge Carrillo-de-Albornoz,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.0058202866255037755,Grafo Originale
Maarten de Rijke,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
Arkaitz Zubiaga,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
Hideo Joho,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
Edgar Meij,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.00582028662550378,Grafo Originale
Flora Salim,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
W. Bruce Croft,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.00582028662550378,Grafo Originale
Víctor Fresno,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
Raquel Martinez,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503787,Grafo Originale
Yongli Ren,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
Ryen W. White,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.005820286625503782,0.005820286625503777,Grafo Originale
Philippe Cudre-Mauroux,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.0065563962777613356,Grafo Originale
Djellel Difallah,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761332,Grafo Originale
Ujwal Gadiraju,0.02631578947368421,0.0,0.39790575916230364,0.009180381173494748,0.013040514107229324,0.01304051410722932,Grafo Originale
Tereza Iofciu,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761338,Grafo Originale
Michele Catasta,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761333,Grafo Originale
Wolfgang Nejdl,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761333,Grafo Originale
Lei Han,0.02631578947368421,0.0,0.39790575916230364,0.009180381173494748,0.013040514107229324,0.01304051410722932,Grafo Originale
Shazia Sadiq,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761332,Grafo Originale
Peter A Bath,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761332,Grafo Originale
"Dr. Wasim Ahmed, PhD",0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761331,Grafo Originale
Karl Aberer,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.0065563962777613356,Grafo Originale
Alberto Tonon,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761333,Grafo Originale
Laura Sbaffi,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761342,Grafo Originale
Claudiu S. Firan,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.006556396277761334,0.006556396277761332,Grafo Originale
Elena Simperl,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467988,Grafo Originale
Cristina Sarasua,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467991,Grafo Originale
Luis-Daniel Ibáñez,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467983,Grafo Originale
Marco Basaldella,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467993,Grafo Originale
Mattia Zeni,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467991,Grafo Originale
Dante Degl'Innocenti,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467991,Grafo Originale
Pavlos Vougiouklis,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467988,Grafo Originale
Jonathon Hare,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467988,Grafo Originale
Carlo Alberto Beltrami,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467991,Grafo Originale
Richard Gomer,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467988,0.006484117829467995,Grafo Originale
David La Barbera,0.17105263157894735,0.027067669172932324,0.5467625899280576,0.033833487763598166,0.041163100925430476,0.04116310092543052,Grafo preferential attachment
Kevin Roitero,0.3157894736842105,0.1570676691729323,0.59375,0.06615534026614646,0.05451282207474238,0.05451282207474245,Grafo preferential attachment
Stefano Mizzaro,0.3684210526315789,0.2518045112781955,0.6129032258064516,0.08179500414889561,0.05584084255231356,0.055840842552313565,Grafo preferential attachment
Gianluca Demartini,0.42105263157894735,0.30607351712614866,0.6333333333333333,0.09508085422978882,0.058691956300842084,0.05869195630084214,Grafo preferential attachment
Damiano Spina,0.43421052631578944,0.32817878028404346,0.6386554621848739,0.09917359322180255,0.059056066776683055,0.05905606677668312,Grafo preferential attachment
Michael Soprano,0.3026315789473684,0.13250626566416038,0.5891472868217055,0.062386413599242914,0.05419062840375143,0.054190628403751474,Grafo preferential attachment
Vincenzo Della Mea,0.09210526315789473,0.0,0.5241379310344828,0.018807797262578613,0.029988290569514554,0.029988290569514586,Grafo preferential attachment
Davide Ceolin,0.09210526315789473,0.0,0.5241379310344828,0.018807797262578613,0.029988290569514554,0.029988290569514575,Grafo preferential attachment
Tim Draws,0.09210526315789473,0.0,0.5241379310344828,0.018807797262578613,0.029988290569514554,0.029988290569514575,Grafo preferential attachment
Joel Mackenzie,0.013157894736842105,0.0,0.35514018691588783,0.004160252399513417,0.0032392311301720936,0.003239231130172097,Grafo preferential attachment
Beatrice Portelli,0.07894736842105263,0.0,0.5170068027210885,0.016595596811117143,0.026749059439342464,0.026749059439342495,Grafo preferential attachment
Giuseppe Serra,0.013157894736842105,0.0,0.37254901960784315,0.004253765116045537,0.004264401042259037,0.00426440104225904,Grafo preferential attachment
Shaoyang Fan,0.07894736842105263,0.0,0.5170068027210885,0.016595596811117143,0.026749059439342464,0.026749059439342485,Grafo preferential attachment
Giuseppe Primiero,0.013157894736842105,0.0,0.37254901960784315,0.004253765116045537,0.004264401042259037,0.004264401042259047,Grafo preferential attachment
Jan Wielemaker,0.013157894736842105,0.0,0.37254901960784315,0.004253765116045537,0.004264401042259037,0.0042644010422590445,Grafo preferential attachment
Alessandro Checco,0.09210526315789473,0.0,0.5241379310344828,0.018807797262578613,0.029988290569514554,0.029988290569514575,Grafo preferential attachment
Afshin Rahimi,0.013157894736842105,0.0,0.37254901960784315,0.004253765116045537,0.004264401042259037,0.004264401042259044,Grafo preferential attachment
Andrea Brunello,0.07894736842105263,0.0,0.5170068027210885,0.016595596811117143,0.026749059439342464,0.026749059439342478,Grafo preferential attachment
Tetsuya Sakai,0.013157894736842105,0.0,0.37254901960784315,0.004253765116045537,0.004264401042259037,0.004264401042259034,Grafo preferential attachment
Eddy Maddalena,0.381578947368421,0.23765246449456975,0.6178861788617886,0.08306977364557931,0.057626074742491186,0.05762607474249118,Grafo preferential attachment
Mihai Horia Popescu,0.013157894736842105,0.0,0.37438423645320196,0.004291187728419842,0.004289755297539975,0.004289755297539979,Grafo preferential attachment
Falk Scholer,0.09210526315789473,0.0,0.5241379310344828,0.018807797262578613,0.029988290569514554,0.029988290569514575,Grafo preferential attachment
J. Shane Culpepper,0.013157894736842105,0.0,0.37438423645320196,0.004291187728419842,0.004289755297539975,0.004289755297539977,Grafo preferential attachment
Yunke Qu,0.013157894736842105,0.0,0.37438423645320196,0.004291187728419842,0.004289755297539975,0.0042897552975399746,Grafo preferential attachment
Mark Sanderson,0.09210526315789473,0.0,0.5241379310344828,0.018807797262578613,0.029988290569514554,0.029988290569514575,Grafo preferential attachment
Rishabh Mehrotra,0.013157894736842105,0.0,0.37438423645320196,0.004291187728419842,0.004289755297539975,0.004289755297539977,Grafo preferential attachment
Mounia Lalmas,0.013157894736842105,0.0,0.37438423645320196,0.004291187728419842,0.004289755297539975,0.004289755297539978,Grafo preferential attachment
Ben Carterette,0.013157894736842105,0.0,0.37438423645320196,0.004291187728419842,0.004289755297539975,0.004289755297539979,Grafo preferential attachment
Luca Vassena,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.004394260671910286,Grafo preferential attachment
Luca Di Gaspero,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.00439426067191028,Grafo preferential attachment
Carlo Tasso,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.00439426067191028,Grafo preferential attachment
Paolo Coppola,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.004394260671910277,Grafo preferential attachment
Omar Alonso,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.004394260671910274,Grafo preferential attachment
Elena Nazzi,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.004394260671910276,Grafo preferential attachment
Giorgio Brajnik,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.004394260671910278,Grafo preferential attachment
Fabio Crestani,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.0043942606719102805,Grafo preferential attachment
Claudio Carpineto,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.004394260671910284,Grafo preferential attachment
Marco Pavan,0.013157894736842105,0.0,0.38190954773869346,0.004431278554402484,0.004394260671910271,0.00439426067191028,Grafo preferential attachment
Andrew Turpin,0.07894736842105263,0.0,0.5170068027210885,0.016595596811117143,0.026749059439342464,0.026749059439342488,Grafo preferential attachment
Julio Gonzalo,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829883,Grafo preferential attachment
Lawrence Cavedon,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.00464727500182988,Grafo preferential attachment
Johanne R. Trippas,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829882,Grafo preferential attachment
Jorge Carrillo-de-Albornoz,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829883,Grafo preferential attachment
Maarten de Rijke,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829882,Grafo preferential attachment
Arkaitz Zubiaga,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829883,Grafo preferential attachment
Hideo Joho,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829885,Grafo preferential attachment
Edgar Meij,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829883,Grafo preferential attachment
Flora Salim,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.00464727500182988,Grafo preferential attachment
W. Bruce Croft,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829879,Grafo preferential attachment
Víctor Fresno,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829883,Grafo preferential attachment
Raquel Martinez,0.039473684210526314,0.0,0.4444444444444444,0.009463521256405125,0.013800642427633182,0.013800642427633188,Grafo preferential attachment
Yongli Ren,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829879,Grafo preferential attachment
Ryen W. White,0.013157894736842105,0.0,0.3917525773195876,0.004502743198767526,0.004647275001829885,0.004647275001829882,Grafo preferential attachment
Philippe Cudre-Mauroux,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502914,Grafo preferential attachment
Djellel Difallah,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.0046186222045029165,Grafo preferential attachment
Ujwal Gadiraju,0.07894736842105263,0.0,0.5170068027210885,0.016595596811117143,0.026749059439342464,0.026749059439342488,Grafo preferential attachment
Tereza Iofciu,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502913,Grafo preferential attachment
Michele Catasta,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502917,Grafo preferential attachment
Wolfgang Nejdl,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502914,Grafo preferential attachment
Lei Han,0.07894736842105263,0.0,0.5170068027210885,0.016595596811117143,0.026749059439342464,0.026749059439342488,Grafo preferential attachment
Shazia Sadiq,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502917,Grafo preferential attachment
Peter A Bath,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502919,Grafo preferential attachment
"Dr. Wasim Ahmed, PhD",0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502913,Grafo preferential attachment
Karl Aberer,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.004618622204502914,Grafo preferential attachment
Alberto Tonon,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.0046186222045029165,Grafo preferential attachment
Laura Sbaffi,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.00461862220450291,Grafo preferential attachment
Claudiu S. Firan,0.013157894736842105,0.0,0.38974358974358975,0.004473845702675006,0.004618622204502917,0.0046186222045029165,Grafo preferential attachment
Elena Simperl,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300379,Grafo preferential attachment
Cristina Sarasua,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300388,Grafo preferential attachment
Luis-Daniel Ibáñez,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300387,Grafo preferential attachment
Marco Basaldella,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300384,Grafo preferential attachment
Mattia Zeni,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.00453474522130039,Grafo preferential attachment
Dante Degl'Innocenti,0.039473684210526314,0.0,0.4444444444444444,0.009463521256405125,0.013800642427633182,0.013800642427633188,Grafo preferential attachment
Pavlos Vougiouklis,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300384,Grafo preferential attachment
Jonathon Hare,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300387,Grafo preferential attachment
Carlo Alberto Beltrami,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300388,Grafo preferential attachment
Richard Gomer,0.013157894736842105,0.0,0.3838383838383838,0.004383036251066491,0.004534745221300378,0.004534745221300394,Grafo preferential attachment
